# RA = 23 03 15.74 (345.8156)
# Dec = +08 52 25.90 (8.873861)
# Redshift = 0.0
# nH = 4.45E20 cm^-2 
# SWBAT70M  (14-195 keV) (id = 22)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
# 1SXPS(2—10 keV) (id = 13)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.4707E-06     0.0000E00    1.8123E-11   2.0330E-13    53852.049815    54746.225012
# 1SXPS(1-2keV) (id = 12)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4140E-06     0.0000E00    1.7838E-11   1.6589E-13    53852.049815    54746.225012
# 1SXPS(0.3—10 keV) (id = 11)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7320E-06     0.0000E00    1.8001E-11   9.5965E-14    53852.049815    54746.225012
# 1SXPS(0.3-1keV) (id = 10)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.4798E-07     0.0000E00    1.5911E-11   1.3940E-13    53852.049815    54746.225012
# allwise w3 (id = 9)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0331E-10     0.0000E00    2.1257E-10   3.4004E-12    55358.75959523    55359.8841145
# allwise w2 (id = 8)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.6952E-10     0.0000E00    1.0361E-10   1.6258E-12    55358.75959523    55537.57489147
# allwise w1 (id = 7)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.6464E-10     0.0000E00    1.2895E-10   2.0613E-12    55358.75959523    55537.57489147
# PCCS2E857 (id = 6)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.5443E-12     0.0000E00    5.0934E-11   1.3622E-11 0.0   0.0
# PCCS2E545 (id = 5)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.2540E-12     0.0000E00    5.9265E-12   0.0000E00 0.0   0.0
# ERCSC857 (id = 4)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.5443E-12     0.0000E00    4.6606E-11   7.0543E-12    55055.5    55354.5
# 2MASS (id = 3)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0046E-09     0.0000E00    1.0959E-10   4.2175E-12 0.0   0.0
7.4649E-10     0.0000E00    1.0025E-10   4.8213E-12 0.0   0.0
5.7486E-10     0.0000E00    1.1666E-10   4.2666E-12 0.0   0.0
# VizieR photometry (id = 2)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.0046E-11     0.0000E00    1.2554E-09   0.0000E00 0.0   0.0
5.1903E-11     0.0000E00    7.2688E-10   0.0000E00 0.0   0.0
1.0699E-10     0.0000E00    3.4919E-10   0.0000E00 0.0   0.0
# NVSS (id = 1)
#  energy (GeV)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.7900E-15     0.0000E00    2.5357E-15   7.6290E-17    49231.5    50508.5
